,translation
92,"{'en': 'what is the net income of apple?', 'sparql': 'select distinct ?ni where [ <res:Apple_Inc.> dbo:netIncome ?ni ]'}"
93,"{'en': 'give me all swedish holidays.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Holiday ; dbo:country> <res:Sweden> ]'}"
94,"{'en': 'in which city was the former dutch queen juliana buried?', 'sparql': 'select distinct ?uri where [ <res:Juliana_of_the_Netherlands> <dbpedia2:burialPlace> ?uri . ?uri a dbo:Settlement ]'}"
95,"{'en': 'list all the musicals with music by leonard bernstein.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Musical ; dbo:musicBy> <res:Leonard_Bernstein> ]'}"
96,"{'en': 'give me all companies in the advertising industry.', 'sparql': 'select (COUNT(distinct ?uri) AS ?c) where [ ?uri a dbo:Company [ ?uri dbo:industry> <res:Advertising> ] UNION [ ?uri dbo:industry> ?industry filter regex(?industry, ""advertising"", ""i"") ] ]'}"
97,"{'en': 'what is the largest metropolitan area in washington state?', 'sparql': 'select distinct ?uri where [ <res:Washington_(state)> dbp:largestmetro ?uri ]'}"
98,"{'en': 'who killed john lennon?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Person ; <dbpedia2:conviction> <res:Death_of_John_Lennon> ]'}"
99,"{'en': 'which writers studied in istanbul?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Writer [ ?uri dbo:almaMater> ?x ] UNION [ ?uri dbo:education> ?x ] [ ?x dbo:city> <res:Istanbul> ] UNION [ ?x <dbpedia2:city> <res:Istanbul> ] ]'}"
100,"{'en': 'give me all australian metalcore bands.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Band ; dbo:genre> <res:Metalcore> [ ?uri dbo:hometown> <res:Australia> ] UNION [ ?uri dbo:hometown> ?h . ?h dbo:country> <res:Australia> ] ]'}"
101,"{'en': 'which countries adopted the euro?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Country [ ?uri dbo:currency> <res:Euro> ] UNION [ ?uri <dbpedia2:currencyCode> ""EUR""@en ] ]'}"
102,"{'en': 'give me all types of eating disorders.', 'sparql': 'select distinct ?uri where [ ?uri a yago:WikicatEatingDisorders ]'}"
103,"{'en': 'was marc chagall a jew?', 'sparql': 'ask where [ <res:Marc_Chagall> dbp:ethnicity ""Jewish""@en ]'}"
104,"{'en': ""what was brazil's lowest rank in the fifa world ranking?"", 'sparql': 'select distinct ?n where [ <res:Brazil_national_football_team> dbp:fifaMin ?n ]'}"
105,"{'en': 'how many films did leonardo dicaprio star in?', 'sparql': 'select (COUNT(distinct ?uri) AS ?c) where [ ?uri a dbo:Film ; dbo:starring> <res:Leonardo_DiCaprio> ]'}"
106,"{'en': 'was margaret thatcher a chemist?', 'sparql': 'ask where [ <res:Margaret_Thatcher> dbo:profession <res:Chemist> ]'}"
107,"{'en': 'which u.s. states are in the same time zone as utah?', 'sparql': 'select distinct ?uri where [ <res:Utah> dbp:timezone ?x . ?uri a <yago:WikicatStatesOfTheUnitedStates> ; dbp:timezone> ?x filter ( ?uri != <res:Utah> ) ]'}"
108,"{'en': 'give me all books written by danielle steel.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Book ; dbo:author> <res:Danielle_Steel> ]'}"
109,"{'en': 'which country has the most official languages?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type <onto:Country> . ?uri <dbpedia2:officialLanguages> ?language . ] order BY DESC(COUNT(?language)) OFFSET 0 limit 1'}"
110,"{'en': 'what is the total amount of men and women serving in the fdny?', 'sparql': 'select distinct ?num where [ <res:New_York_City_Fire_Department> dbp:employees ?num ]'}"
111,"{'en': 'which actor played chewbacca?', 'sparql': 'select distinct ?uri where [ <res:Chewbacca> dbo:portrayer ?uri ]'}"
112,"{'en': 'give me all libraries established earlier than 1400.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Library ; <dbpedia2:established> ?year filter ( ?year < 1400 ) ]'}"
113,"{'en': 'which programming languages were influenced by perl?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:ProgrammingLanguage [ ?uri dbo:influencedBy> <res:Perl> ] UNION [ <res:Perl> dbo:influenced> ?uri ] ]'}"
114,"{'en': 'in which u.s. state is mount mckinley located?', 'sparql': 'select distinct ?uri where [ <res:Mount_McKinley> dbo:wikiPageRedirects ?x . ?x dbo:locatedInArea ?uri. ?uri rdf:type yago:WikicatStatesOfTheUnitedStates ]'}"
115,"{'en': 'what airlines are part of the skyteam alliance?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Airline [ ?uri dbo:alliance> <res:SkyTeam> ] UNION [ ?uri dbo:Alliance> <res:SkyTeam> ] ]'}"
116,"{'en': 'which ships were called after benjamin franklin?', 'sparql': 'select distinct ?uri where [ ?uri dbp:shipNamesake <res:Benjamin_Franklin> ]'}"
117,"{'en': 'give me all methodist politicians.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Politician ; dbo:religion> <res:Methodism> ]'}"
118,"{'en': 'what other books have been written by the author of the fault in our stars?', 'sparql': 'select ?books where [ ?books dbo:author dbr:John_Green_(author) ]'}"
119,"{'en': 'what is the highest mountain?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Mountain ; dbo:elevation> ?elevation ] order BY DESC(?elevation) OFFSET 0 limit 1'}"
120,"{'en': 'which poet wrote the most books?', 'sparql': 'select distinct ?uri where [ ?uri <onto:occupation> <res:Poet> . ?x <onto:author> ?uri . ?x rdf:type <onto:Book> . ] order BY DESC(COUNT(?x)) OFFSET 0 limit 1'}"
121,"{'en': 'which programming languages influenced javascript?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:ProgrammingLanguage ; dbo:influenced> <res:JavaScript> ]'}"
122,"{'en': 'which musician wrote the most books?', 'sparql': 'select distinct ?uri where [ ?uri <onto:occupation> <res:Musician> . ?x <onto:author> ?uri . ?x rdf:type <onto:Book> . ] order BY DESC(COUNT(?x)) OFFSET 0 limit 1'}"
123,"{'en': 'which films starring clint eastwood did he direct himself?', 'sparql': 'select distinct ?uri where [ ?uri dbo:director <res:Clint_Eastwood> ; dbo:starring> <res:Clint_Eastwood> ]'}"
124,"{'en': 'which software has been developed by organizations founded in california?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Software . ?company a dbo:Company> . ?uri dbo:developer> ?company . ?company dbo:foundationPlace> <res:California> ]'}"
125,"{'en': 'which instruments does cat stevens play?', 'sparql': 'select distinct ?uri where [ <res:Cat_Stevens> dbo:instrument ?uri ]'}"
126,"{'en': 'how many airlines are members of the star alliance?', 'sparql': 'select (COUNT(distinct ?uri) AS ?c) where [ ?uri a dbo:Airline ; dbo:alliance> <res:Star_Alliance> ]'}"
127,"{'en': 'give me all actors called baldwin.', 'sparql': ""select distinct ?uri where [ ?uri foaf:surname 'Baldwin'@en . [ ?uri <onto:occupation> <res:Actor> . ] UNION [ ?uri rdf:type <onto:Actor> . ] ]""}"
128,"{'en': 'who wrote the hunger games?', 'sparql': 'select distinct ?uri where [ <res:The_Hunger_Games> dbp:author ?uri ]'}"
129,"{'en': 'for which label did elvis record his first album?', 'sparql': 'select distinct ?uri where [ ?x rdf:type dbo:Album ; dbo:artist dbr:Elvis_Presley ; dbo:releaseDate ?y ; dbo:recordLabel ?uri ] order BY ASC(?y) OFFSET 0 limit 1'}"
130,"{'en': 'is christian bale starring in batman begins?', 'sparql': 'ask where [ dbr:Batman_Begins dbo:starring dbr:Christian_Bale ]'}"
131,"{'en': 'where is the residence of the prime minister of spain?', 'sparql': 'select distinct ?uri where [ <res:Prime_Minister_of_Spain> dbp:residence ?uri ]'}"
132,"{'en': 'which actor was casted in the most movies?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type <onto:Actor> . ?f rdf:type> <onto:Film> . ?f <onto:starring> ?uri . ] order BY DESC(COUNT(distinct(?f))) OFFSET 0 limit 1'}"
133,"{'en': 'which countries have more than two official languages?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Country ; dbo:officialLanguage> ?language ] GROUP BY ?uri HAVING ( COUNT(?language) > 2 )'}"
134,"{'en': 'which countries have more than ten caves?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Country . ?cave a dbo:Cave> [ ?cave dbo:location> ?uri ] UNION [ ?cave dbo:location> ?loc . ?loc dbo:country> ?uri ] ] GROUP BY ?uri HAVING ( COUNT(?cave) > 10 )'}"
135,"{'en': 'show me all songs from bruce springsteen released between 1980 and 1990.', 'sparql': ""select distinct ?uri where [ ?uri rdf:type <onto:Song> . ?uri <onto:artist> <res:Bruce_Springsteen> . ?uri <onto:releaseDate> ?date . filter (?date >= '1980-01-01'^^xsd:date && ?date <= '1990-12-31'^^xsd:date) ]""}"
136,"{'en': 'which television shows were created by john cleese?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:TelevisionShow ; dbo:creator> <res:John_Cleese> ]'}"
137,"{'en': 'when did latvia join the eu?', 'sparql': 'select distinct ?date where [ <res:Latvia> dbp:accessioneudate ?date ]'}"
138,"{'en': 'which soccer players were born on malta?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:SoccerPlayer ; dbo:birthPlace> <res:Malta> ]'}"
139,"{'en': 'how many politicians graduated from columbia university?', 'sparql': 'select (COUNT(distinct ?uri) AS ?c) where [ ?uri dbo:profession <res:Politician> ; dbo:almaMater> <res:Columbia_University> ]'}"
140,"{'en': 'give me the birthdays of all actors of the television show charmed.', 'sparql': 'select distinct ?date where [ <res:Charmed> dbo:starring ?actor . ?actor dbo:birthDate> ?date ]'}"
141,"{'en': 'which telecommunications organizations are located in belgium?', 'sparql': 'select (COUNT(distinct ?uri) AS ?c) where [ ?uri a dbo:Organisation [ ?uri dbo:industry> <res:Telecommunication> ] UNION [ ?uri <dbpedia2:industry> ?industry filter regex(?industry, ""Telecommunications"") ] [ ?uri dbo:location> <res:Belgium> ] UNION [ ?uri <dbpedia2:locationCountry> ""Belgium""@en ] ]'}"
142,"{'en': 'give me a list of all lakes in denmark.', 'sparql': 'select distinct ?uri where [ [ ?uri a dbo:Lake ; dbo:country> <res:Denmark> ] UNION [ ?uri a <yago:LakesOfDenmark> ] ]'}"
143,"{'en': 'how many children does eddie murphy have?', 'sparql': 'select distinct ?n where [ <res:Eddie_Murphy> dbp:children ?n ]'}"
144,"{'en': 'show me all english gothic buildings in kent.', 'sparql': 'select ?uri where [ ?uri a dbo:Building ; dbo:architecturalStyle> <res:English_Gothic_architecture> ; dbo:location> <res:Kent> ]'}"
145,"{'en': 'who is the manager of real madrid?', 'sparql': 'select distinct ?uri where [ <res:Real_Madrid_C.F.> dbo:manager ?uri ]'}"
146,"{'en': 'in which countries can you pay using the west african cfa franc?', 'sparql': 'select distinct ?uri where [ ?uri dbo:currency <res:West_African_CFA_franc> ]'}"
147,"{'en': 'which holidays are celebrated around the world?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Holiday ]'}"
148,"{'en': 'what is the longest river?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:River [ ?uri dbo:length> ?l ] UNION [ ?uri <dbpedia2:length> ?l ] ] order BY DESC(?l) OFFSET 0 limit 1'}"
149,"{'en': 'which organizations were founded in 1930?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Organisation [ ?uri dbo:formationYear> ?date ] UNION [ ?uri dbo:foundingYear> ?date ] filter regex(?date, ""^1930"") ]'}"
150,"{'en': 'what is the birth name of angela merkel?', 'sparql': 'select distinct ?string where [ <res:Angela_Merkel> dbp:birthName ?string ]'}"
